date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,new_persons_vaccinated,cumulative_persons_fully_vaccinated,new_hospitalized_patients,cumulative_hospitalized_patients,new_recovered,cumulative_recovered,cumulative_tested,investment_in_vaccines,new_recovered_1,cumulative_recovered_1,current_hospitalized_patients
3/5/2021,721,620663,12,7094,35097,583220,57,26387,426,552311,7037081,0,426,552311,260
3/5/2021,79,54764,0,682,1458,59185,2,1391,69,53550,649293,,69,53550,21
3/5/2021,304,186460,18,3787,13915,272879,14,13229,1668,153376,2757994,0,1668,153376,183
3/5/2021,917,427558,0,4534,21508,435582,54,24157,1050,410778,3562618,,1050,410778,366
3/5/2021,570,324326,10,5283,12026,257367,27,14903,525,314732,2728103,,525,314732,359
3/5/2021,591,296745,19,6783,14370,251916,0,9162,0,278162,1756119,,0,278162,445
3/5/2021,299,172587,0,1876,7423,152239,20,7164,302,95524,644796,,302,95524,139
3/5/2021,94,100278,0,1478,4980,86601,0,3875,93,98164,1422537,,93,98164,22
3/4/2021,403,323756,12,5273,10244,249956,50,14876,408,314207,2719229,,408,314207,397
3/4/2021,0,372708,0,1955,247,197103,0,14783,0,355033,2886369,0,0,355033,247
3/4/2021,232,113065,3,1896,3999,100474,10,6664,166,109113,696656,,166,109113,87
3/4/2021,1567,521563,40,8660,15880,412007,41,20542,0,230793,5099813,0,0,230793,734
3/4/2021,1514,779449,42,11501,22054,501995,37,18779,1499,754465,6834882,0,1499,754465,970
3/4/2021,940,487374,14,6521,20559,503513,33,25896,476,473728,7023826,,476,473728,229
3/4/2021,895,426641,0,4534,18566,426191,39,24103,765,409728,3553402,,765,409728,404
3/4/2021,365,201973,1,2092,8776,175405,10,6157,115,156048,2403686,,115,156048,151
3/4/2021,69,54685,0,682,99,57249,1,1389,106,53481,646179,,106,53481,23
3/4/2021,855,619942,13,7082,22904,558736,51,26330,556,551885,7008539,0,556,551885,262
3/4/2021,452,172288,5,1876,4394,145396,13,7144,286,95222,643358,,286,95222,139
3/4/2021,117,100184,0,1478,2669,82964,4,3875,57,98071,1419620,,57,98071,22
3/4/2021,136,45227,0,705,205,109024,4,1549,7,12827,1633308,,7,12827,69
3/4/2021,922,498076,65,10094,13981,365456,84,45807,0,295690,2311207,0,0,295690,544
3/4/2021,809,384765,3,7922,27129,550801,81,35304,6,9691,7982350,,6,9691,856
3/4/2021,180,100531,2,1375,4773,101700,8,4608,172,97499,1091522,,172,97499,73
3/4/2021,1067,408440,28,4732,21907,382469,60,19364,65,47992,3954639,,65,47992,645
3/4/2021,188,76178,3,1178,7504,106637,4,1127,209,72809,1474441,,209,72809,92
3/4/2021,258,186156,16,3769,4219,264446,25,13215,1540,151708,2738734,0,1540,151708,177
3/4/2021,1875,974480,0,17189,35101,999780,82,50695,2704,919296,10144547,,2704,919296,1009
3/4/2021,1567,586310,44,16296,35177,578386,0,19713,14005,508745,16522351,,14005,508745,741
3/4/2021,479,296154,21,6764,10739,241445,0,9162,0,278162,1755528,,0,278162,448
3/3/2021,262,201608,7,2091,6534,168026,7,6147,221,155933,2392401,,221,155933,150
3/3/2021,110,100067,1,1478,1144,80709,-3,3871,80,98014,1416045,,80,98014,20
3/3/2021,747,425746,0,4534,12819,411725,65,24064,1029,408963,3542049,,1029,408963,427
3/3/2021,780,619087,19,7069,17603,539106,57,26279,599,551329,6970553,0,599,551329,267
3/3/2021,89,54616,0,682,3482,57093,3,1388,36,53375,643476,,36,53375,24
3/3/2021,1173,519996,44,8620,9031,377722,73,20501,0,230793,5078144,0,0,230793,706
3/3/2021,786,383956,14,7919,42199,534605,71,35223,8,9685,7948627,,8,9685,863
3/3/2021,1598,777935,23,11459,31469,487741,63,18742,1190,752966,6817121,0,1190,752966,1033
3/3/2021,2022,972605,0,17189,38784,975219,110,50613,1699,916592,10101222,,1699,916592,1081
3/3/2021,729,372708,6,1955,16150,196772,30,14783,1296,355033,2876176,0,1296,355033,247
