date,subregion1_name,subregion2_name,population,life_expectancy,new_confirmed,cumulative_confirmed,new_hospitalized_patients,cumulative_deceased,cumulative_tested,cumulative_hospitalized_patients,latitude,longitude,area_sq_km,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
3/30/2021,Florida,Liberty County,8236,75.85,1,1055,0,16,7081,22,30.23,-84.89,2184,5045,3191,771,891,1256,1284,1266,1117,866,544,241
3/30/2021,Florida,Washington County,24546,74.083333,3,2673,0,50,19469,136,30.61,-85.67,616,13264,11282,2556,2821,3346,3110,3326,3533,2964,2010,880
3/30/2021,Florida,Suwannee County,44124,75.742857,2,5216,0,135,49802,311,30.19,-82.99,1792,22950,21174,4967,5194,5485,5216,5025,5973,5888,4107,2269
3/30/2021,Florida,DeSoto County,37241,77.977778,9,4076,1,85,42506,290,27.19,-81.81,1656,21160,16081,3956,4123,5239,5013,4229,4523,4258,3811,2089
3/30/2021,Florida,Gilchrist County,17900,77.36,1,1488,0,38,16764,74,29.73,-82.8,921,9254,8646,1997,2297,2407,1877,1936,2524,2393,1583,886
3/30/2021,Florida,Putnam County,73384,74.51875,11,6038,0,135,76199,530,29.61,-81.74,2142,36313,37071,8729,8561,8287,7397,7641,10647,10959,7382,3781
3/30/2021,Florida,Alachua County,266309,77.945238,41,23390,1,259,449401,1180,29.683333,-82.366667,2510,128758,137551,27795,33881,65948,33367,26352,28127,27081,15381,8377
3/30/2021,Florida,Union County,15448,73.433333,1,1774,0,70,20298,82,30.04,-82.37,647,10109,5339,1595,1656,2239,2208,2058,2479,1762,1006,445
3/30/2021,Florida,Gulf County,16105,76.5,3,1917,0,42,13280,98,29.9,-85.24,1928,9447,6658,1384,1390,2170,2082,2201,2384,2252,1534,708
3/30/2021,Florida,Columbia County,69999,74.754545,12,7846,1,162,73116,460,30.23,-82.63,2075,36175,33824,8454,8490,9157,8588,8125,9436,8965,5768,3016
3/30/2021,Florida,Seminole County,462801,79.789873,99,30054,0,466,367711,1205,28.71,-81.23,893,223736,239065,51416,56748,63523,65265,63037,64753,51426,29636,16997
3/30/2021,Florida,Citrus County,145415,75.062963,16,10314,0,428,114058,678,28.85,-82.52,2002,70393,75022,11303,12466,12032,11274,13063,20057,27101,24914,13205
3/30/2021,Florida,Collier County,372678,81.591525,106,32513,3,496,324908,1637,26.08,-81.4,5970,183561,189117,34353,37207,35953,36072,39039,47389,53970,54899,33796
3/30/2021,Florida,Manatee County,385506,78.997297,68,34765,0,635,473012,1470,27.48,-82.36,2312,186419,199087,38412,40327,39871,39607,42556,52661,58004,46439,27629
3/30/2021,Florida,Bradford County,27142,76.2,2,2921,0,53,29736,146,29.95,-82.17,777,14744,12398,3094,2926,3728,3743,3391,3623,3240,2203,1194
3/30/2021,Florida,Marion County,353339,75.448148,46,29042,2,918,301800,1975,29.21,-82.06,4307,169645,183694,35985,36473,37530,35631,36665,45072,52416,48438,25129
3/30/2021,Florida,Nassau County,82925,78.216667,9,7974,0,122,92311,311,30.61,-81.77,1880,40773,42152,8716,9357,8714,9420,10021,12196,12664,8272,3565
3/30/2021,Florida,Flagler County,109999,79.005263,18,6673,0,96,74259,366,29.47,-81.3,1478,52891,57108,9475,11455,9811,10087,11878,15054,19497,15372,7370
